"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Dionysius of Halicarnassus, Letter to Pompeius Geminus",-5.0,23.0,28.0,
"Dionysius of Halicarnassus, On Literary Composition",-5.0,56.0,67.0,
"Dionysius of Halicarnassus, Roman Antiquities",-7.0,317.0,3795.0,
"Dionysius of Halicarnassus, Second Letter To Ammaeus",-5.0,12.0,24.0,
Epitome de Caesaribus (pseudo-Aurelius Victor),400.0,126.0,227.0,
"Eugippius, Life of St. Severinus",511.0,19.0,85.0,
"Eunapius, Lives of the Philosophers and Sophists",399.0,76.0,217.0,
"Euripides, Alcestis",-438.0,21.0,39.0,
"Euripides, Andromache",-425.0,31.0,90.0,
"Euripides, Bacchae",-405.0,31.0,79.0,
"Euripides, Cyclops",-400.0,16.0,33.0,
"Euripides, Electra",-411.0,31.0,74.0,
"Euripides, Hecuba",-424.0,14.0,55.0,
"Euripides, Helen",-412.0,30.0,107.0,
"Euripides, Heracleidae",-429.0,14.0,63.0,
"Euripides, Heracles",-416.0,42.0,80.0,
"Euripides, Hippolytus",-428.0,24.0,43.0,
"Euripides, Ion",-414.0,24.0,70.0,
"Euripides, Iphigenia at Aulis",-410.0,39.0,123.0,
"Euripides, Iphigenia in Tauris",-414.0,27.0,86.0,
"Euripides, Medea",-431.0,16.0,31.0,
"Euripides, Orestes",-408.0,26.0,89.0,
"Euripides, Phoenician Women",-410.0,32.0,115.0,
"Euripides, Rhesus",-400.0,24.0,104.0,
"Euripides, Suppliant Women",-423.0,23.0,72.0,
"Euripides, Trojan Women",-415.0,43.0,167.0,
"Eusebius, Chronography",325.0,253.0,795.0,
"Eusebius, Ecclesiastical History",300.0,134.0,846.0,
"Eusebius, History of the Martyrs of Palestine",300.0,35.0,94.0,
"Eusebius, Life of Constantine",315.0,59.0,162.0,
"Eusebius, Preparation of the Gospels",315.0,259.0,961.0,
"Eutropius, Abridgment of Roman History",369.0,253.0,785.0,
"Evagrius Scholasticus, Ecclesiastical History",594.0,153.0,730.0,
"Flavius Josephus, Jewish Antiquities",94.0,207.0,1975.0,
"Flavius Josephus, Jewish War",75.0,198.0,1792.0,
"Flavius Josephus, Life",94.0,40.0,266.0,
"Florus, Epitome of Roman History",150.0,332.0,782.0,
"Frontinus, Aqueducts of Rome",100.0,36.0,255.0,
Greek Anthology Book 16 Planudean,500.0,120.0,267.0,
Greek Anthology Book 7,900.0,231.0,590.0,
Greek Anthology Book 9,900.0,196.0,459.0,
Greek Anthology Books 1-6,900.0,191.0,350.0,
Greek Anthology Books 10-12,900.0,108.0,164.0,
"Harpokration, Lexicon of the Ten Orators",150.0,373.0,1022.0,
"Heliodorus, Ethiopica",280.0,68.0,391.0,
Hellenica Oxyrhynchia,-370.0,80.0,202.0,
"Heracleides Criticus, Bios Ellados",-270.0,37.0,66.0,
"Heracleitus, On Unbelievable Tales",-250.0,4.0,4.0,
"Heraclides Lembus, On Constitutions",-336.0,67.0,91.0,
Hermion arbitration decree,-175.0,5.0,8.0,
"Herodian, History of the Empire",245.0,89.0,493.0,
"Herodotus, Histories",-430.0,766.0,5966.0,
"Hesiod, Fragments",-650.0,99.0,154.0,
"Hesiod, Shield of Heracles",-650.0,20.0,32.0,
"Hesiod, Theogony",-650.0,48.0,69.0,
"Hesiod, Works and Days",-650.0,16.0,21.0,
"Hesychius, Patria of Constantinople",550.0,34.0,70.0,
"Himerius, Orations",380.0,172.0,643.0,
"Hippocratic Corpus, Ambassadorial Speech",-200.0,27.0,54.0,
